date,opportunityId,timeSlotId,opportunitySlug,capacity,bookedCount
2024-07,65ac9a4f6cf5a2bb2fca1b44,65ac9a4f6cf5a2bb2fca1b45,organic-vegetable-farming,2,0
2024-08,65ac9a4f6cf5a2bb2fca1b44,65ac9a4f6cf5a2bb2fca1b45,organic-vegetable-farming,2,0
2024-09,65ac9a4f6cf5a2bb2fca1b44,65ac9a4f6cf5a2bb2fca1b45,organic-vegetable-farming,2,0
2024-10,65ac9a4f6cf5a2bb2fca1b44,65ac9a4f6cf5a2bb2fca1b45,organic-vegetable-farming,2,0
2024-11,65ac9a4f6cf5a2bb2fca1b44,65ac9a4f6cf5a2bb2fca1b45,organic-vegetable-farming,2,0
2024-12,65ac9a4f6cf5a2bb2fca1b44,65ac9a4f6cf5a2bb2fca1b45,organic-vegetable-farming,2,0
2024-07,65ac9a4f6cf5a2bb2fca1b46,65ac9a4f6cf5a2bb2fca1b47,eco-tour-volunteer,3,0
2024-08,65ac9a4f6cf5a2bb2fca1b46,65ac9a4f6cf5a2bb2fca1b47,eco-tour-volunteer,3,0
2024-09,65ac9a4f6cf5a2bb2fca1b46,65ac9a4f6cf5a2bb2fca1b47,eco-tour-volunteer,3,0
2024-10,65ac9a4f6cf5a2bb2fca1b46,65ac9a4f6cf5a2bb2fca1b47,eco-tour-volunteer,3,0
2024-11,65ac9a4f6cf5a2bb2fca1b46,65ac9a4f6cf5a2bb2fca1b47,eco-tour-volunteer,3,0
2024-12,65ac9a4f6cf5a2bb2fca1b46,65ac9a4f6cf5a2bb2fca1b47,eco-tour-volunteer,3,0
2024-07,65ac9a4f6cf5a2bb2fca1b48,65ac9a4f6cf5a2bb2fca1b49,homestay-reception,2,0
2024-08,65ac9a4f6cf5a2bb2fca1b48,65ac9a4f6cf5a2bb2fca1b49,homestay-reception,2,0
2024-09,65ac9a4f6cf5a2bb2fca1b48,65ac9a4f6cf5a2bb2fca1b49,homestay-reception,2,0
2024-10,65ac9a4f6cf5a2bb2fca1b48,65ac9a4f6cf5a2bb2fca1b49,homestay-reception,2,0
2024-11,65ac9a4f6cf5a2bb2fca1b48,65ac9a4f6cf5a2bb2fca1b49,homestay-reception,2,0
2024-12,65ac9a4f6cf5a2bb2fca1b48,65ac9a4f6cf5a2bb2fca1b49,homestay-reception,2,0
2024-07,65ac9a4f6cf5a2bb2fca1b4a,65ac9a4f6cf5a2bb2fca1b4b,art-workshop-assistant,2,0
2024-08,65ac9a4f6cf5a2bb2fca1b4a,65ac9a4f6cf5a2bb2fca1b4b,art-workshop-assistant,2,0
2024-09,65ac9a4f6cf5a2bb2fca1b4a,65ac9a4f6cf5a2bb2fca1b4b,art-workshop-assistant,2,0
2024-08,65ac9a4f6cf5a2bb2fca1b4c,65ac9a4f6cf5a2bb2fca1b4d,eco-friendly-farming,2,0
2024-09,65ac9a4f6cf5a2bb2fca1b4c,65ac9a4f6cf5a2bb2fca1b4d,eco-friendly-farming,2,0
2024-10,65ac9a4f6cf5a2bb2fca1b4c,65ac9a4f6cf5a2bb2fca1b4d,eco-friendly-farming,2,0
2024-11,65ac9a4f6cf5a2bb2fca1b4c,65ac9a4f6cf5a2bb2fca1b4d,eco-friendly-farming,2,0
2024-08,65ac9a4f6cf5a2bb2fca1b4e,65ac9a4f6cf5a2bb2fca1b4f,community-kitchen-assistant,2,0
2024-09,65ac9a4f6cf5a2bb2fca1b4e,65ac9a4f6cf5a2bb2fca1b4f,community-kitchen-assistant,2,0
